month,merchant_key,merchant_name,owner,merchant_scale,priority_level,current_gmv,previous_gmv,gmv_change_abs,gmv_loss,gmv_mom,gmv_rank_current,gmv_rank_change,previous_gmv_share,diagnostic_dimensions,data_quality_status,metric_quality_status,merchant_mapping_status,aftersales_rate,attention_reasons
2025-12,ID:2205,成都墨芑,负责人 B,KEY,PRIORITY,204873.52,222366.17,-17492.650000000023,17492.650000000023,-0.0786659679392779,21.0,2.0,0.0194697880448413,Trend|Scale / Impact,NO_ALERT,MISSING,ID_MATCHED,0.0216216216216216,Trend: GMV环比-7.9%，连续下降3个月；Scale / Impact: GMV损失17492.65，上月区域占比1.9%
2025-12,ID:2245,蒙特生物,负责人 B,MID,NO_PRIORITY,73519.8,88857.52,-15337.72,15337.72,-0.1726102641622228,41.0,3.0,0.0077801271685807,,NO_ALERT,MISSING,NAME_MATCHED,0.0165441176470588,
2025-12,ID:22679,江西古戈尔商贸,,MID,NO_PRIORITY,36585.54,31922.61,4662.93,0.0,0.1460698232381374,57.0,1.0,0.0027950584863611,,NO_ALERT,MISSING,NAME_MATCHED,0.0086767895878524,
2025-12,ID:22862,四川众恩德科技,,MID,NO_PRIORITY,62740.55,6404.26,56336.29,0.0,8.796690015708295,45.0,-27.0,0.0005607399038444,,NO_ALERT,MISSING,NAME_MATCHED,0.0177304964539007,
2025-12,ID:22917,成都天蕊贸易,,KEY,ATTENTION,295319.97,326738.6,-31418.630000000005,31418.630000000005,-0.0961583051405619,17.0,8.0,0.0286083593024432,Scale / Impact|Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0202913631633714,Scale / Impact: GMV损失31418.63，上月区域占比2.9%；Relative Position: 排名变化8，同月分位83.8%
2025-12,ID:22940,四川壹贝佳健康咨询,,KEY,WATCHLIST,364063.98,442534.83,-78470.85000000003,78470.85000000003,-0.1773212969474065,9.0,3.0,0.0387471679822514,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0063262539539087,Scale / Impact: GMV损失78470.85，上月区域占比3.9%
2025-12,ID:23028,重庆小橘灯商贸,,LONG_TAIL,NO_PRIORITY,7402.48,2975.7,4426.78,0.0,1.4876432436065463,72.0,-5.0,0.0002605443457745,,NO_ALERT,MISSING,NAME_MATCHED,0.03,
2025-12,ID:23497,重庆赛迪亨商贸,,LONG_TAIL,NO_PRIORITY,722.98,0.0,722.98,0.0,,80.0,-1.0,0.0,,NO_ALERT,MISSING,NAME_MATCHED,0.0208333333333333,
2025-12,ID:23871,好品惠,,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,NAME_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,ID:24075,好尔思健康,,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,NAME_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,ID:24236,重庆即美购供应链管理,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24287,四川美恩堂医药,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24447,成都德善堂生物科技,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24474,成都三合力医疗用品,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24489,成都喜之安健康咨询,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24491,四川蓝漂日用品,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24513,成都瑞舒达健康管理,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24713,四川蜀妈妈生物科技,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24732,四川康福达医疗科技,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24857,四川汇天美优贸易,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24874,陕西商玺伟康医药用品,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:24989,盛弘康品,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:25025,成都御养集商贸,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,NO_ALERT,MISSING,NAME_MATCHED,,
2025-12,ID:2563,成都天然堂,负责人 B,MID,NO_PRIORITY,158272.87,93735.04,64537.83,0.0,0.6885133883764278,28.0,-6.0,0.0082071897949886,,NO_ALERT,MISSING,NAME_MATCHED,0.0366713681241184,
2025-12,ID:2837,四川多乐士,负责人 B,KEY,WATCHLIST,349184.96,325883.74,23301.22000000003,0.0,0.071501634294488,10.0,0.0,0.0285335100436373,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0165408126573175,Scale / Impact: GMV损失0.00，上月区域占比2.9%
2025-12,ID:3001,华药天康,负责人 B,MID,NO_PRIORITY,59417.04,59026.12,390.9199999999983,0.0,0.0066228307061348,48.0,3.0,0.0051681694455112,,NO_ALERT,MISSING,NAME_MATCHED,0.0240202275600505,
2025-12,ID:3279,四川朝利,负责人 B,MID,WATCHLIST,24781.4,16948.93,7832.470000000001,0.0,0.4621217976592033,62.0,-1.0,0.0014840030508545,Service,NO_ALERT,MISSING,NAME_MATCHED,0.0245098039215686,Service: 售后率2.5%，环比变化289.7%
2025-12,ID:3314,上品康健,负责人 B,MID,WATCHLIST,25565.0,41956.02,-16391.019999999997,16391.019999999997,-0.3906714697914625,61.0,9.0,0.0036735570730256,Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0197368421052631,Relative Position: 排名变化9，同月分位39.4%
2025-12,ID:3787,蓉易购,负责人 B,MID,NO_PRIORITY,12360.63,16062.1,-3701.470000000001,3701.470000000001,-0.2304474508314604,68.0,4.0,0.0014063545842204,,NO_ALERT,MISSING,NAME_MATCHED,0.0434782608695652,
2025-12,ID:4216,壹药师,负责人 B,KEY,WATCHLIST,790303.76,461405.83,328897.93,0.0,0.7128170227064534,2.0,-1.0,0.0403994623496644,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0320602174519096,Scale / Impact: GMV损失0.00，上月区域占比4.0%
2025-12,ID:4930,大圣旗舰店,负责人 B,KEY,NO_PRIORITY,332223.71,217662.8,114560.91000000005,0.0,0.5263228718917521,12.0,-8.0,0.0190579735273881,,NO_ALERT,MISSING,NAME_MATCHED,0.0096079938508839,
2025-12,ID:5293,成都利民康,负责人 B,MID,NO_PRIORITY,12489.26,8510.16,3979.1,0.0,0.4675705274636434,67.0,-4.0,0.0007451268843083,,NO_ALERT,MISSING,NAME_MATCHED,0.0067114093959731,
2025-12,ID:5379,四川长生康,负责人 B,MID,NO_PRIORITY,91599.9,112215.6,-20615.70000000001,20615.70000000001,-0.1837150984355117,37.0,5.0,0.0098252982786216,,NO_ALERT,MISSING,NAME_MATCHED,0.0178997613365155,
2025-12,ID:5504,亿辰科技,负责人 B,MID,PRIORITY,52475.81,55330.0,-2854.1900000000023,2854.1900000000023,-0.0515848545093078,51.0,3.0,0.004844547048326,Trend,NO_ALERT,MISSING,NAME_MATCHED,0.0276381909547738,Trend: GMV环比-5.2%，连续下降5个月
2025-12,ID:6256,四川锐源通,负责人 B,MID,NO_PRIORITY,39305.36,41877.69,-2572.3300000000017,2572.3300000000017,-0.0614248302616501,56.0,3.0,0.0036666987073958,,NO_ALERT,MISSING,NAME_MATCHED,0.0170316301703163,
