version_group,file_name,date_or_version,rows,columns,date_range,likely_latest,relationship
销售额统计,销售额统计 (20).xlsx,,2340,10,日期:2025-06-01..2025-06-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (3).xlsx,,90,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (3).xlsx,,90,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (3).xlsx,,2700,11,日期:2026-06-01..2026-06-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
DATEQ1云商通激励&绩效调整,2025Q1云商通激励&绩效调整.pdf,,,,,UNCONFIRMED,single_observed_file
DATE三方绩效方案宣导-运营3月试行版（TO运营）,2025年三方绩效方案宣导-运营3月试行版（TO运营）.pdf,,,,,UNCONFIRMED,single_observed_file
DATE三方绩效方案宣导-运营4月试行版  TO运营,2025年三方绩效方案宣导-运营4月试行版  TO运营.pdf,,,,,UNCONFIRMED,single_observed_file
DATE三方绩效方案宣导-运营8月版（TO运营）,2025年三方绩效方案宣导-运营8月版（TO运营）.pdf,,,,,UNCONFIRMED,single_observed_file
DATE运营绩效考核方案（完整版TO全员）,2025年运营绩效考核方案（完整版TO全员）.pdf,,,,,UNCONFIRMED,single_observed_file
DATE运营绩效考核方案（完整版）TO运营,2025年运营绩效考核方案（完整版）TO运营.pdf,,,,,UNCONFIRMED,single_observed_file
DATE运营绩效考核方案（简洁版-10月变点TO运营）,2025年运营绩效考核方案（简洁版-10月变点TO运营）.pdf,,,,,UNCONFIRMED,single_observed_file
DATE运营绩效考核方案（简洁版-变点）-DATE版,2025年运营绩效考核方案（简洁版-变点）-2025-11版.pdf,,,,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
DATE运营绩效考核方案（简洁版-变点）-DATE版,2025年运营绩效考核方案（简洁版-变点）-2025-12版.pdf,,,,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
DATE三方区域运营绩效方案 TO运营,2026年三方区域运营绩效方案 TO运营.pdf,,,,,UNCONFIRMED,single_observed_file
24年非药商家售后订单率DATE,24年非药商家售后订单率2025-01-03.xlsx,,2052,7,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
24年非药商家售后订单率DATE,24年非药商家售后订单率2025-01-03.xlsx,,30,5,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
26年Q1非药运营&商务绩效1230,26年Q1非药运营&商务绩效1230.pdf,,,,,UNCONFIRMED,single_observed_file
5万商家12-1月药采购现金情况,5万商家12-1月药采购现金情况.xlsx,,1754,13,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
5万商家12-1月药采购现金情况,5万商家12-1月药采购现金情况.xlsx,,228,1,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
【2月考核结果】非药商家0211-0304连锁销售情况,【2月考核结果】非药商家0211-0304连锁销售情况.xlsx,,457,22,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
【2月考核结果】非药商家0211-0304连锁销售情况,【2月考核结果】非药商家0211-0304连锁销售情况.xlsx,,1723,20,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
三方客户成功部运营岗-十万专员考核方案（DATE修订试行版）,三方客户成功部运营岗-十万专员考核方案（202404修订试行版）.docx,,,,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
三方客户成功部运营岗-十万专员考核方案（DATE修订试行版）,三方客户成功部运营岗-十万专员考核方案（202407修订试行版）.pdf,,,,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
三方绩效方向2501——TO运营,三方绩效方向2501——TO运营.pdf,,,,,UNCONFIRMED,single_observed_file
商家每月售后情况DATE_四川,商家每月售后情况2025-02-06_四川.xlsx,,73,13,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
商家每月售后情况DATE_四川,商家每月售后情况2025-02-06_四川.xlsx,,23,1,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
日化可开分店商家,日化可开分店商家.xlsx,,39,6,,UNCONFIRMED,single_observed_file
汇总清单,汇总清单.txt,,,,,UNCONFIRMED,single_observed_file
非药各经营范围上架规则及售后考核概览,非药各经营范围上架规则及售后考核概览.docx,,,,,UNCONFIRMED,single_observed_file
非药商务&运营25年11月绩效方案,非药商务&运营25年11月绩效方案.pdf,,,,,UNCONFIRMED,single_observed_file
