version_group,file_name,date_or_version,rows,columns,date_range,likely_latest,relationship
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-06-01_sub_高运.xlsx,,1,9,月份:2026-04-01..2026-04-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,7,21,月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,19,8,月份:2024-12-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,195,17,月份:2024-12-01..2026-06-01 | 商业开店日期:2023-01-12..2026-06-23,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,35,57,商业开店日期:2023-01-12..2026-06-23 | 商业首单日期:2023-07-07..2026-06-27,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,23,30,月份:2026-06-01..2026-06-01 | 开店月份:2026-01-01..2026-06-01 | 首单月份:2026-01-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,199,47,商业开店日期:2025-08-29..2026-06-29 | 商业首单日期:2025-09-17..2026-06-27 | 月份:2025-01-01..2026-07-01 | 日期_dt:2025-09-17..2026-06-27 | 参考月份_dt:2025-10-17..2026-07-27 | 月份_dt:2025-01-01..2026-07-01 | 开店月份:2025-08-01..2026-06-01 | 首单月份:2025-09-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,1,26,在药师帮注册日期:2024-08-27..2024-08-27 | 启用日期:2025-09-13..2025-09-13 | 药店首单日期:2025-11-13..2025-11-13 | 药采购权限审核通过日期:2025-09-13..2025-09-13 | 最近一次申请药采购权限时间:2025-09-13..2025-09-13,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运 (1).xlsx,,1,10,月份:2026-04-01..2026-04-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,7,21,月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,19,8,月份:2024-12-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,195,17,月份:2024-12-01..2026-06-01 | 商业开店日期:2023-01-12..2026-06-23,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,35,57,商业开店日期:2023-01-12..2026-06-23 | 商业首单日期:2023-07-07..2026-06-27,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,23,30,月份:2026-06-01..2026-06-01 | 开店月份:2026-01-01..2026-06-01 | 首单月份:2026-01-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,199,47,商业开店日期:2025-08-29..2026-06-29 | 商业首单日期:2025-09-17..2026-06-27 | 月份:2025-01-01..2026-07-01 | 日期_dt:2025-09-17..2026-06-27 | 参考月份_dt:2025-10-17..2026-07-27 | 月份_dt:2025-01-01..2026-07-01 | 开店月份:2025-08-01..2026-06-01 | 首单月份:2025-09-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,1,26,在药师帮注册日期:2024-08-27..2024-08-27 | 启用日期:2025-09-13..2025-09-13 | 药店首单日期:2025-11-13..2025-11-13 | 药采购权限审核通过日期:2025-09-13..2025-09-13 | 最近一次申请药采购权限时间:2025-09-13..2025-09-13,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-01_sub_高运.xlsx,,1,10,月份:2026-04-01..2026-04-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,7,21,月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,20,8,月份:2024-12-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,225,17,月份:2024-12-01..2026-07-01 | 商业开店日期:2023-01-12..2026-06-23,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,35,57,商业开店日期:2023-01-12..2026-06-23 | 商业首单日期:2023-07-07..2026-06-27,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,26,30,月份:2026-06-01..2026-06-01 | 开店月份:2026-01-01..2026-06-01 | 首单月份:2026-01-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
